Cliente_Comprou_o_Titulo?,Idade,Profissao,Estado_Civil,Formacao,Cliente_Devedor?,Saldo_Conta_Corrente,Tem_Hipoteca?,Tem_Emprestimo?,Qte_de_Ligacoes_Feitas
Não,28,Operário,Casado,Fundamental,Não,674,Sim,Não,4
Sim,28,Administrador,Solteiro,Ensino Superior,Não,730,Sim,Não,1
Sim,28,Desempregado,Solteiro,Fundamental,Não,1374,Não,Não,4
Não,28,Administrador,Solteiro,Ensino Superior,Não,278,Não,Sim,1
Não,28,Operário,Solteiro,Ensino Médio,Não,38,Sim,Não,1
Sim,28,Técnico,Solteiro,Ensino Médio,Não,1363,Não,Não,1
Não,28,Administrador,Casado,Ensino Médio,Não,3,Sim,Não,2
Sim,28,Administrador,Solteiro,Ensino Superior,Não,5474,Não,Não,5
Não,28,Estudante,Solteiro,Ensino Médio,Não,154,Sim,Não,9
Sim,28,Autônomo,Solteiro,Ensino Superior,Não,159,Não,Não,2
Sim,28,Administrador,Solteiro,Ensino Médio,Não,136,Não,Não,1
Sim,28,Desempregado,Casado,Ensino Superior,Não,482,Não,Não,1
Não,28,Operário,Solteiro,Ensino Médio,Não,455,Sim,Não,1
Não,28,Administrador,Solteiro,Ensino Superior,Não,882,Não,Sim,2
Não,28,Estudante,Solteiro,Ensino Médio,Não,1925,Não,Não,1
Sim,28,Autônomo,Casado,Ensino Médio,Não,123,Não,Sim,1
Sim,28,Administrador,Divorciado,Ensino Médio,Não,451,Sim,Não,1
Sim,28,Administrador,Solteiro,Ensino Médio,Não,1633,Não,Não,1
Sim,28,Administrador,Solteiro,Ensino Médio,Não,377,Não,Não,1
Sim,28,Administrador,Solteiro,Ensino Médio,Não,127,Não,Não,2
Não,28,Operário,Solteiro,Ensino Médio,Não,39,Não,Não,7
Sim,28,Operário,Solteiro,Ensino Médio,Não,524,Sim,Não,2
Não,28,Operário,Casado,Ensino Médio,Não,948,Sim,Não,1
Sim,28,Administrador,Solteiro,Ensino Médio,Não,171,Não,Não,1
Sim,28,Operário,Solteiro,Ensino Superior,Não,4099,Não,Não,4
Sim,28,Serviços Gerais,Solteiro,Ensino Médio,Não,198,Não,Não,2
Não,28,Técnico,Solteiro,Ensino Superior,Não,375,Sim,Não,1
Não,28,Administrador,Solteiro,Ensino Superior,Não,334,Sim,Não,4
Não,28,Estudante,Solteiro,Ensino Médio,Não,231,Sim,Não,1
Sim,28,Técnico,Solteiro,Ensino Médio,Não,154,Sim,Não,2
Sim,28,Administrador,Solteiro,Ensino Superior,Não,1825,Não,Não,1
Sim,28,Estudante,Solteiro,Ensino Superior,Não,3054,Não,Não,1
Não,28,Administrador,Solteiro,Ensino Médio,Não,144,Não,Sim,1
Sim,28,Administrador,Solteiro,Ensino Superior,Não,437,Não,Não,1
Sim,28,Administrador,Solteiro,Ensino Superior,Não,939,Sim,Não,1
Não,28,Administrador,Casado,Ensino Superior,Não,167,Sim,Sim,2
Não,28,Serviços Gerais,Solteiro,Ensino Médio,Não,3331,Sim,Não,2
Não,28,Autônomo,Casado,Ensino Superior,Não,120,Sim,Sim,3
Não,28,Operário,Solteiro,Ensino Médio,Não,1106,Sim,Não,2
Sim,28,Operário,Solteiro,Ensino Médio,Não,759,Sim,Não,1
Sim,28,Administrador,Solteiro,Ensino Médio,Não,460,Sim,Não,6
Sim,28,Administrador,Solteiro,Ensino Superior,Não,80,Não,Não,2
Sim,28,Operário,Solteiro,Ensino Médio,Não,1705,Não,Não,2
Não,28,Serviços Gerais,Solteiro,Ensino Médio,Não,1636,Sim,Não,1
Sim,28,Serviços Gerais,Solteiro,Fundamental,Não,198,Não,Não,2
Sim,28,Administrador,Solteiro,Ensino Superior,Não,12956,Sim,Não,1
Sim,28,Administrador,Solteiro,Ensino Superior,Sim,1414,Sim,Não,1
Não,28,Técnico,Solteiro,Ensino Médio,Não,2034,Sim,Não,1
Sim,28,Técnico,Solteiro,Ensino Superior,Não,4987,Não,Não,21
Sim,28,Administrador,Solteiro,Ensino Médio,Não,171,Não,Não,1
Não,28,Estudante,Solteiro,Ensino Superior,Não,221,Sim,Não,1
Não,28,Administrador,Casado,Ensino Superior,Não,258,Não,Sim,1
Sim,28,Administrador,Solteiro,Ensino Superior,Não,9314,Não,Não,2
Sim,28,Administrador,Solteiro,Ensino Médio,Não,2,Sim,Não,1
Não,28,Operário,Casado,Ensino Médio,Não,1020,Sim,Não,1
Não,28,Técnico,Solteiro,Ensino Superior,Não,4513,Sim,Não,3
Não,28,Operário,Casado,Fundamental,Não,254,Sim,Não,2
Sim,28,Serviços Gerais,Solteiro,Ensino Médio,Não,5090,Sim,Não,3
Não,28,Empresário,Solteiro,Ensino Médio,Não,1734,Sim,Não,3
Não,28,Estudante,Solteiro,Ensino Médio,Não,5916,Não,Não,1
Sim,28,Administrador,Solteiro,Ensino Médio,Não,261,Sim,Sim,2
Não,28,Serviços Gerais,Solteiro,Ensino Médio,Não,60,Não,Sim,1
Sim,28,Estudante,Solteiro,Ensino Médio,Não,67,Não,Não,3
Não,28,Serviços Gerais,Solteiro,Ensino Médio,Não,47,Não,Não,2
Sim,28,Administrador,Solteiro,Ensino Médio,Não,1277,Não,Não,1
Sim,28,Desconhecido,Solteiro,Ensino Médio,Não,4465,Não,Não,1
Sim,28,Técnico,Casado,Ensino Médio,Não,742,Não,Não,1
Sim,28,Técnico,Solteiro,Ensino Superior,Não,3623,Não,Não,1
Não,28,Serviços Gerais,Casado,Ensino Médio,Não,222,Sim,Não,23
Não,28,Técnico,Solteiro,Ensino Médio,Não,100,Sim,Não,5
Não,28,Autônomo,Solteiro,Ensino Médio,Não,123,Sim,Não,1
Não,28,Serviços Gerais,Solteiro,Ensino Médio,Não,123,Sim,Não,1
Não,28,Técnico,Solteiro,Ensino Médio,Não,922,Sim,Não,1
Sim,28,Administrador,Casado,Ensino Médio,Não,292,Sim,Não,1
Não,28,Administrador,Solteiro,Ensino Superior,Não,466,Sim,Não,2
Sim,28,Autônomo,Solteiro,Ensino Superior,Não,2503,Não,Não,1
Não,28,Técnico,Solteiro,Ensino Médio,Não,981,Sim,Não,1
Sim,28,Administrador,Solteiro,Ensino Superior,Não,3796,Não,Não,2
Não,29,Operário,Casado,Fundamental,Não,7,Sim,Não,3
Não,29,Administrador,Divorciado,Ensino Médio,Não,504,Sim,Não,1
Não,29,Técnico,Solteiro,Ensino Médio,Não,544,Sim,Não,1
Não,29,Administrador,Solteiro,Ensino Superior,Não,1566,Sim,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,985,Sim,Não,2
Sim,29,Administrador,Solteiro,Ensino Superior,Não,428,Não,Não,2
Não,29,Administrador,Solteiro,Ensino Superior,Não,91,Não,Não,1
Não,29,Operário,Casado,Ensino Médio,Não,162,Sim,Não,3
Sim,29,Estudante,Solteiro,Desconhecido,Não,10332,Não,Não,3
Não,29,Operário,Solteiro,Ensino Médio,Não,922,Sim,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,1026,Não,Não,1
Sim,29,Técnico,Solteiro,Ensino Médio,Não,674,Não,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,437,Não,Não,1
Não,29,Serviços Gerais,Casado,Ensino Médio,Não,363,Sim,Não,1
Sim,29,Administrador,Solteiro,Ensino Médio,Não,1027,Sim,Não,1
Sim,29,Operário,Solteiro,Ensino Médio,Não,734,Sim,Sim,1
Sim,29,Técnico,Solteiro,Ensino Médio,Não,706,Sim,Não,1
Não,29,Serviços Gerais,Solteiro,Ensino Médio,Não,197,Sim,Não,2
Sim,29,Administrador,Solteiro,Ensino Médio,Não,27,Sim,Não,1
Não,29,Serviços Gerais,Solteiro,Ensino Médio,Não,695,Não,Não,1
Sim,29,Operário,Solteiro,Ensino Médio,Não,2,Sim,Sim,5
Não,29,Operário,Casado,Fundamental,Não,111,Sim,Não,11
Sim,29,Administrador,Solteiro,Ensino Superior,Não,265,Não,Não,1
Sim,29,Serviços Gerais,Casado,Ensino Médio,Não,1135,Sim,Não,1
Não,29,Operário,Casado,Ensino Médio,Não,508,Sim,Sim,5
Não,29,Operário,Casado,Ensino Médio,Não,313,Sim,Não,2
Sim,29,Técnico,Casado,Ensino Médio,Não,23,Sim,Não,1
Não,29,Operário,Casado,Ensino Médio,Não,975,Sim,Não,2
Não,29,Administrador,Solteiro,Ensino Médio,Não,127,Sim,Sim,1
Sim,29,Autônomo,Casado,Ensino Médio,Não,123,Não,Sim,1
Não,29,Administrador,Casado,Ensino Médio,Não,494,Sim,Não,2
Não,29,Técnico,Casado,Ensino Superior,Não,1489,Sim,Não,1
Sim,29,Administrador,Casado,Ensino Médio,Não,7707,Sim,Não,2
Não,29,Administrador,Solteiro,Ensino Médio,Não,613,Sim,Não,1
Sim,29,Operário,Solteiro,Fundamental,Não,213,Sim,Não,3
Sim,29,Diarista,Solteiro,Ensino Superior,Não,2196,Não,Não,1
Sim,29,Estudante,Solteiro,Ensino Médio,Não,1779,Não,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,5359,Não,Não,1
Sim,29,Técnico,Solteiro,Ensino Médio,Não,938,Não,Não,1
Sim,29,Administrador,Casado,Ensino Médio,Não,231,Não,Não,1
Não,29,Administrador,Casado,Ensino Superior,Não,16,Sim,Não,6
Sim,29,Serviços Gerais,Solteiro,Ensino Superior,Não,1788,Não,Não,1
Sim,29,Desempregado,Solteiro,Ensino Superior,Não,1311,Não,Não,1
Não,29,Administrador,Solteiro,Ensino Médio,Não,488,Sim,Não,1
Sim,29,Técnico,Casado,Ensino Médio,Não,95,Não,Sim,3
Sim,29,Estudante,Solteiro,Ensino Médio,Não,658,Não,Não,2
Não,29,Operário,Solteiro,Ensino Médio,Não,2806,Não,Não,1
Não,29,Administrador,Casado,Ensino Superior,Não,7832,Sim,Não,2
Sim,29,Estudante,Solteiro,Ensino Superior,Não,5,Não,Não,5
Não,29,Operário,Solteiro,Ensino Médio,Não,2891,Sim,Não,1
Sim,29,Estudante,Solteiro,Ensino Médio,Não,1377,Sim,Não,1
Não,29,Serviços Gerais,Solteiro,Ensino Médio,Não,9,Não,Sim,2
Não,29,Administrador,Solteiro,Desconhecido,Não,698,Não,Não,1
Não,29,Administrador,Solteiro,Ensino Médio,Não,3794,Não,Não,1
Sim,29,Estudante,Solteiro,Ensino Médio,Não,314,Não,Não,1
Sim,29,Serviços Gerais,Solteiro,Ensino Médio,Não,271,Sim,Não,2
Sim,29,Autônomo,Solteiro,Ensino Superior,Não,1579,Não,Não,1
Sim,29,Administrador,Casado,Ensino Superior,Não,10576,Não,Não,2
Não,29,Operário,Casado,Fundamental,Não,630,Sim,Não,5
Não,29,Serviços Gerais,Solteiro,Ensino Médio,Não,37,Não,Sim,2
Sim,29,Administrador,Solteiro,Ensino Superior,Não,874,Sim,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,983,Sim,Não,2
Não,29,Serviços Gerais,Solteiro,Ensino Médio,Não,146,Sim,Não,2
Não,29,Serviços Gerais,Casado,Ensino Superior,Não,6,Sim,Não,2
Não,29,Autônomo,Casado,Ensino Superior,Não,242,Sim,Não,4
Não,29,Administrador,Solteiro,Ensino Médio,Não,382,Sim,Não,1
Não,29,Estudante,Solteiro,Desconhecido,Não,2929,Não,Não,1
Sim,29,Técnico,Solteiro,Ensino Médio,Não,316,Sim,Não,1
Sim,29,Operário,Casado,Ensino Médio,Não,580,Sim,Sim,2
Sim,29,Técnico,Solteiro,Ensino Médio,Não,674,Não,Não,5
Sim,29,Técnico,Solteiro,Ensino Médio,Não,1165,Não,Não,1
Sim,29,Administrador,Solteiro,Desconhecido,Não,560,Não,Não,1
Não,29,Técnico,Solteiro,Ensino Superior,Não,2269,Sim,Não,1
Não,29,Administrador,Solteiro,Ensino Médio,Não,2768,Sim,Não,4
Não,29,Operário,Solteiro,Ensino Superior,Não,98,Não,Não,2
Sim,29,Administrador,Solteiro,Ensino Superior,Não,1445,Não,Não,2
Sim,29,Técnico,Solteiro,Ensino Superior,Não,2489,Sim,Não,1
Sim,29,Administrador,Casado,Ensino Superior,Não,314,Não,Não,2
Sim,29,Operário,Solteiro,Ensino Superior,Não,455,Não,Não,2
Sim,29,Administrador,Solteiro,Ensino Médio,Não,464,Não,Não,2
Sim,29,Técnico,Solteiro,Ensino Médio,Não,113,Não,Não,2
Não,29,Operário,Solteiro,Ensino Médio,Não,16,Não,Não,3
Sim,29,Administrador,Solteiro,Ensino Superior,Não,3041,Sim,Não,3
Não,29,Estudante,Solteiro,Ensino Médio,Não,110,Sim,Não,3
Sim,29,Desempregado,Solteiro,Fundamental,Não,550,Não,Não,1
Sim,29,Técnico,Solteiro,Ensino Médio,Não,590,Não,Não,1
Sim,29,Operário,Casado,Ensino Médio,Não,940,Sim,Sim,1
Sim,29,Técnico,Solteiro,Ensino Superior,Não,2325,Não,Não,1
Sim,29,Operário,Casado,Ensino Médio,Não,7863,Sim,Não,1
Não,29,Administrador,Solteiro,Ensino Superior,Não,1218,Não,Não,2
Não,29,Desconhecido,Solteiro,Ensino Médio,Não,923,Não,Não,1
Sim,29,Autônomo,Solteiro,Ensino Superior,Não,814,Não,Não,1
Sim,29,Serviços Gerais,Solteiro,Fundamental,Não,339,Não,Não,3
Não,29,Estudante,Solteiro,Ensino Médio,Não,314,Não,Não,3
Sim,29,Estudante,Solteiro,Desconhecido,Não,7585,Não,Não,2
Sim,29,Administrador,Solteiro,Ensino Superior,Não,2753,Não,Não,1
Não,29,Serviços Gerais,Solteiro,Ensino Médio,Não,1008,Sim,Não,9
Sim,29,Administrador,Casado,Ensino Superior,Não,332,Não,Não,1
Não,29,Serviços Gerais,Solteiro,Ensino Médio,Não,192,Não,Não,4
Não,29,Administrador,Solteiro,Ensino Médio,Não,260,Sim,Não,2
Não,29,Desempregado,Solteiro,Ensino Médio,Não,670,Sim,Não,1
Sim,29,Autônomo,Solteiro,Ensino Superior,Não,655,Não,Não,1
Não,29,Operário,Casado,Ensino Médio,Não,1,Sim,Não,1
Não,29,Administrador,Solteiro,Ensino Médio,Não,900,Sim,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,572,Sim,Não,1
Não,29,Técnico,Solteiro,Ensino Médio,Não,309,Sim,Não,1
Sim,29,Técnico,Solteiro,Ensino Superior,Não,1669,Não,Não,1
Não,29,Operário,Solteiro,Ensino Médio,Não,9,Sim,Não,3
Sim,29,Administrador,Solteiro,Ensino Superior,Não,765,Não,Não,1
Não,29,Diarista,Casado,Fundamental,Não,417,Não,Não,2
Sim,29,Administrador,Solteiro,Ensino Superior,Não,1377,Não,Não,2
Não,29,Autônomo,Casado,Ensino Superior,Não,1,Não,Não,3
Sim,29,Desempregado,Solteiro,Ensino Superior,Não,70,Não,Não,1
Sim,29,Estudante,Solteiro,Ensino Médio,Não,459,Não,Não,3
Sim,29,Autônomo,Solteiro,Ensino Superior,Não,1579,Não,Não,1
Não,29,Operário,Casado,Fundamental,Não,544,Não,Sim,4
Sim,29,Autônomo,Solteiro,Ensino Superior,Não,805,Não,Não,1
Não,29,Operário,Casado,Fundamental,Não,258,Sim,Não,1
Sim,29,Desempregado,Solteiro,Fundamental,Não,1374,Não,Não,3
Não,29,Desempregado,Solteiro,Ensino Superior,Não,7,Não,Não,1
Não,29,Operário,Casado,Ensino Médio,Não,3310,Não,Não,1
Sim,29,Técnico,Casado,Ensino Médio,Não,1180,Sim,Não,3
Sim,29,Serviços Gerais,Solteiro,Ensino Médio,Não,32,Sim,Não,1
Não,29,Administrador,Solteiro,Ensino Superior,Não,54,Sim,Sim,3
Sim,29,Autônomo,Solteiro,Ensino Superior,Não,121,Sim,Não,2
Não,29,Técnico,Solteiro,Ensino Médio,Não,18,Não,Não,3
Não,29,Técnico,Solteiro,Ensino Médio,Não,510,Sim,Não,15
Sim,29,Administrador,Solteiro,Ensino Superior,Não,697,Não,Não,1
Não,29,Operário,Solteiro,Ensino Médio,Não,415,Não,Sim,1
Não,29,Administrador,Divorciado,Ensino Médio,Não,1320,Sim,Sim,1
Sim,29,Administrador,Casado,Ensino Superior,Não,199,Sim,Sim,4
Sim,29,Administrador,Solteiro,Ensino Médio,Não,731,Não,Não,3
Sim,29,Administrador,Solteiro,Ensino Superior,Não,1808,Não,Não,2
Sim,29,Estudante,Solteiro,Ensino Médio,Não,67,Não,Não,1
Não,29,Técnico,Solteiro,Ensino Superior,Não,542,Sim,Não,3
Sim,29,Técnico,Solteiro,Ensino Médio,Não,1165,Não,Não,2
Não,29,Administrador,Solteiro,Ensino Superior,Não,8,Não,Sim,1
Não,29,Operário,Casado,Ensino Médio,Não,296,Sim,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,697,Não,Não,1
Sim,29,Administrador,Casado,Ensino Superior,Não,205,Não,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,572,Não,Não,1
Sim,29,Administrador,Casado,Ensino Superior,Não,1387,Sim,Não,2
Sim,29,Administrador,Casado,Ensino Superior,Não,247,Não,Não,2
Não,29,Técnico,Solteiro,Ensino Superior,Não,940,Sim,Não,1
Sim,29,Técnico,Solteiro,Ensino Médio,Não,6,Não,Não,1
Não,29,Operário,Casado,Ensino Médio,Não,294,Sim,Não,2
Não,29,Operário,Solteiro,Ensino Médio,Não,202,Não,Não,2
Não,29,Técnico,Solteiro,Ensino Superior,Não,910,Sim,Não,1
Não,29,Serviços Gerais,Casado,Ensino Médio,Não,30,Sim,Não,3
Sim,29,Administrador,Solteiro,Ensino Superior,Não,2531,Não,Não,1
Não,29,Administrador,Solteiro,Ensino Superior,Não,119,Sim,Não,2
Não,29,Operário,Casado,Ensino Médio,Não,100,Sim,Sim,4
Sim,29,Técnico,Casado,Ensino Médio,Não,2326,Não,Não,1
Não,29,Administrador,Solteiro,Ensino Superior,Não,600,Sim,Não,5
Não,29,Administrador,Solteiro,Ensino Superior,Não,261,Não,Não,19
Não,29,Operário,Casado,Ensino Médio,Não,5903,Sim,Não,1
Sim,29,Estudante,Solteiro,Ensino Médio,Não,78,Não,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,1170,Não,Não,1
Não,29,Serviços Gerais,Casado,Ensino Médio,Não,19,Sim,Não,6
Não,29,Autônomo,Solteiro,Ensino Médio,Não,970,Sim,Não,1
Sim,29,Administrador,Solteiro,Ensino Médio,Não,1277,Não,Não,2
Sim,29,Operário,Solteiro,Ensino Superior,Não,455,Não,Não,1
Sim,29,Operário,Solteiro,Ensino Médio,Não,322,Não,Não,1
Sim,29,Serviços Gerais,Solteiro,Desconhecido,Não,196,Não,Não,2
Não,29,Técnico,Casado,Ensino Médio,Não,767,Sim,Não,1
Não,29,Administrador,Solteiro,Ensino Superior,Não,499,Sim,Não,1
Sim,29,Técnico,Solteiro,Ensino Médio,Não,3466,Não,Não,1
Sim,29,Empresário,Casado,Ensino Médio,Não,714,Sim,Sim,2
Não,29,Administrador,Casado,Ensino Superior,Não,167,Sim,Sim,2
Não,29,Operário,Solteiro,Ensino Médio,Não,348,Sim,Não,2
Não,29,Autônomo,Solteiro,Ensino Superior,Não,16,Sim,Não,1
Sim,29,Autônomo,Casado,Ensino Médio,Não,425,Sim,Não,15
Sim,29,Técnico,Solteiro,Ensino Médio,Não,110,Sim,Não,1
Sim,29,Autônomo,Solteiro,Ensino Superior,Não,3290,Não,Não,1
Sim,29,Operário,Solteiro,Desconhecido,Não,694,Sim,Sim,4
Sim,29,Autônomo,Solteiro,Ensino Superior,Não,3290,Não,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,15459,Não,Não,7
Sim,29,Desempregado,Solteiro,Desconhecido,Não,1584,Não,Não,1
Não,29,Técnico,Solteiro,Ensino Médio,Não,5763,Não,Sim,2
Sim,29,Diarista,Solteiro,Ensino Superior,Não,19,Não,Não,1
Sim,29,Administrador,Solteiro,Ensino Médio,Não,703,Sim,Não,1
Não,29,Desempregado,Solteiro,Ensino Superior,Não,150,Sim,Não,1
Não,29,Administrador,Solteiro,Ensino Superior,Não,573,Sim,Sim,4
Não,29,Técnico,Divorciado,Ensino Médio,Não,477,Sim,Sim,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,572,Não,Não,1
Não,29,Administrador,Casado,Ensino Médio,Não,252,Sim,Não,3
Sim,29,Administrador,Solteiro,Ensino Superior,Não,3846,Não,Não,2
Não,29,Serviços Gerais,Solteiro,Ensino Médio,Não,20,Sim,Não,1
Não,29,Operário,Casado,Fundamental,Não,787,Sim,Não,2
Não,29,Administrador,Solteiro,Ensino Médio,Não,1992,Não,Não,2
Não,29,Técnico,Divorciado,Ensino Médio,Não,328,Sim,Sim,1
Sim,29,Desempregado,Solteiro,Ensino Médio,Não,1055,Não,Não,1
Não,29,Técnico,Solteiro,Ensino Médio,Não,307,Sim,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,41,Sim,Não,2
Não,29,Administrador,Solteiro,Ensino Superior,Não,841,Não,Não,1
Não,29,Administrador,Solteiro,Ensino Médio,Não,209,Não,Não,2
Não,29,Administrador,Solteiro,Ensino Superior,Não,1514,Sim,Não,1
Sim,29,Estudante,Solteiro,Desconhecido,Não,2929,Não,Não,1
Não,29,Técnico,Solteiro,Ensino Superior,Não,2485,Não,Não,6
Sim,29,Administrador,Solteiro,Ensino Superior,Não,1026,Não,Não,2
Sim,29,Administrador,Solteiro,Ensino Médio,Não,3528,Não,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,502,Não,Não,1
Não,29,Técnico,Casado,Ensino Médio,Não,428,Não,Não,4
Sim,29,Administrador,Solteiro,Ensino Médio,Não,1070,Sim,Não,1
Não,29,Empresário,Solteiro,Ensino Superior,Não,219,Sim,Não,2
Sim,29,Desempregado,Solteiro,Fundamental,Não,1374,Não,Não,2
Não,29,Operário,Casado,Fundamental,Não,59,Sim,Sim,4
Sim,29,Técnico,Solteiro,Ensino Superior,Não,673,Sim,Não,3
Não,29,Serviços Gerais,Solteiro,Ensino Médio,Não,887,Não,Não,1
Sim,29,Administrador,Casado,Ensino Superior,Não,8103,Não,Não,3
Não,29,Autônomo,Solteiro,Ensino Superior,Não,300,Não,Não,1
Sim,29,Desempregado,Solteiro,Ensino Superior,Não,497,Sim,Não,3
Sim,29,Diarista,Solteiro,Ensino Superior,Não,19,Não,Não,2
Sim,29,Técnico,Solteiro,Ensino Superior,Não,615,Sim,Não,1
Sim,29,Operário,Solteiro,Ensino Médio,Não,260,Sim,Não,14
Sim,29,Serviços Gerais,Solteiro,Ensino Médio,Não,1934,Não,Não,1
Não,29,Administrador,Solteiro,Ensino Superior,Não,92,Não,Não,1
Não,29,Desempregado,Solteiro,Ensino Médio,Não,2424,Não,Não,1
Não,29,Administrador,Solteiro,Ensino Superior,Não,502,Não,Não,2
Sim,29,Operário,Solteiro,Ensino Médio,Não,908,Sim,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,224,Sim,Não,2
Sim,29,Técnico,Solteiro,Ensino Médio,Não,825,Não,Não,2
Não,29,Administrador,Solteiro,Ensino Médio,Não,1261,Não,Não,1
Não,29,Operário,Solteiro,Ensino Médio,Não,228,Não,Não,1
Não,29,Operário,Solteiro,Ensino Médio,Não,234,Sim,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,874,Sim,Não,1
Sim,29,Administrador,Solteiro,Ensino Médio,Não,265,Sim,Não,1
Sim,29,Estudante,Solteiro,Ensino Médio,Não,314,Não,Não,2
Não,29,Técnico,Solteiro,Ensino Médio,Não,1395,Sim,Não,1
Sim,29,Autônomo,Solteiro,Ensino Superior,Não,476,Sim,Não,1
Sim,29,Administrador,Casado,Ensino Superior,Não,238,Não,Não,2
Não,29,Operário,Casado,Ensino Médio,Não,339,Sim,Não,3
Sim,29,Serviços Gerais,Divorciado,Ensino Médio,Não,84,Sim,Não,2
Sim,29,Estudante,Solteiro,Ensino Superior,Não,163,Não,Não,1
Sim,29,Administrador,Solteiro,Ensino Médio,Não,306,Sim,Não,4
Sim,29,Operário,Casado,Ensino Médio,Não,104,Sim,Não,4
Não,29,Serviços Gerais,Casado,Ensino Médio,Não,1386,Sim,Não,1
Não,29,Operário,Solteiro,Ensino Médio,Não,244,Sim,Não,2
Não,29,Operário,Casado,Ensino Médio,Não,246,Sim,Não,5
Não,29,Técnico,Divorciado,Ensino Médio,Não,124,Não,Não,1
Não,29,Administrador,Casado,Ensino Superior,Não,2417,Sim,Não,2
Sim,29,Administrador,Solteiro,Ensino Superior,Não,268,Não,Não,1
Não,29,Administrador,Solteiro,Ensino Médio,Não,293,Sim,Não,2
Não,29,Serviços Gerais,Casado,Ensino Médio,Não,191,Sim,Não,1
Não,29,Autônomo,Solteiro,Ensino Superior,Não,162,Não,Sim,1
Não,29,Administrador,Casado,Ensino Superior,Sim,53,Sim,Não,17
Sim,29,Técnico,Solteiro,Ensino Médio,Não,590,Não,Não,1
Sim,29,Operário,Casado,Ensino Médio,Não,2870,Sim,Não,1
Sim,29,Serviços Gerais,Solteiro,Ensino Médio,Não,84,Não,Sim,3
Não,29,Operário,Casado,Fundamental,Não,79,Sim,Não,2
Sim,29,Administrador,Solteiro,Ensino Superior,Não,1445,Não,Não,2
Não,29,Administrador,Casado,Ensino Médio,Não,6429,Sim,Sim,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,637,Sim,Não,1
Sim,29,Administrador,Solteiro,Ensino Superior,Não,2955,Não,Não,2
Sim,29,Administrador,Solteiro,Ensino Médio,Não,163,Sim,Sim,1
Não,29,Serviços Gerais,Casado,Ensino Médio,Não,3748,Não,Não,3
Não,29,Técnico,Casado,Ensino Médio,Não,344,Sim,Sim,2
Não,29,Administrador,Casado,Ensino Superior,Não,941,Sim,Não,11
Não,29,Desempregado,Solteiro,Desconhecido,Não,67,Não,Não,2
Não,29,Administrador,Solteiro,Ensino Superior,Não,514,Não,Não,1
Sim,29,Diarista,Solteiro,Ensino Superior,Não,19,Não,Não,1
Não,29,Técnico,Solteiro,Ensino Médio,Não,1612,Sim,Não,2
Sim,29,Operário,Solteiro,Ensino Superior,Não,455,Não,Não,4
Sim,29,Administrador,Solteiro,Ensino Médio,Não,266,Sim,Não,1
Não,29,Serviços Gerais,Casado,Ensino Médio,Não,57,Sim,Não,9
Sim,29,Técnico,Solteiro,Ensino Médio,Não,382,Não,Não,4
Sim,29,Operário,Casado,Ensino Médio,Não,8,Sim,Sim,1
Sim,29,Administrador,Casado,Ensino Superior,Não,1441,Sim,Não,2
Não,29,Autônomo,Casado,Ensino Superior,Não,2305,Não,Não,2
Não,29,Administrador,Casado,Ensino Superior,Não,318,Sim,Não,2
Não,29,Administrador,Casado,Ensino Médio,Não,500,Sim,Não,8
Não,29,Operário,Casado,Ensino Médio,Não,15,Não,Não,1
Sim,29,Técnico,Solteiro,Ensino Superior,Não,2178,Não,Não,2
Não,29,Operário,Casado,Fundamental,Não,25,Sim,Não,2
Sim,29,Administrador,Casado,Ensino Superior,Não,51,Sim,Não,5
Sim,29,Administrador,Solteiro,Ensino Superior,Não,9407,Não,Não,6
Sim,29,Administrador,Solteiro,Ensino Superior,Não,92,Não,Não,5
Sim,29,Operário,Solteiro,Ensino Médio,Não,482,Não,Sim,3
Sim,29,Técnico,Casado,Ensino Médio,Não,273,Não,Não,2
Sim,29,Administrador,Solteiro,Ensino Superior,Não,265,Não,Não,2
Sim,29,Administrador,Solteiro,Ensino Médio,Não,3317,Não,Sim,7
Sim,29,Administrador,Solteiro,Ensino Superior,Não,307,Sim,Não,1
Sim,29,Estudante,Solteiro,Ensino Médio,Não,1925,Não,Não,3
Não,29,Técnico,Solteiro,Ensino Médio,Não,1856,Sim,Sim,1
Sim,29,Administrador,Solteiro,Ensino Médio,Não,464,Não,Não,2
Sim,29,Operário,Casado,Fundamental,Não,5,Não,Não,1
